normalized,count,sample_ids_and_names
longing of it,8,2207:Longing of it.; 2230:Longing of it.; 2277:Longing of it.; 2286:Longing of it.; 6455:Longing of it.; 6478:Longing of it.; 6525:Longing of it.; 6534:Longing of it.
boundary of ledger,8,2328:Boundary of Ledger; 2329:Boundary of Ledger; 2518:Boundary of ledger:; 2523:Boundary of Ledger; 6576:Boundary of Ledger; 6577:Boundary of Ledger; 6766:Boundary of ledger:; 6771:Boundary of Ledger
boundary of collapse,8,2333:Boundary of collapse.; 3265:Boundary of collapse:; 3269:Boundary of collapse:; 3277:Boundary of collapse:; 6581:Boundary of collapse.; 7513:Boundary of collapse:; 7517:Boundary of collapse:; 7525:Boundary of collapse:
boundary of it,8,2423:Boundary of it.; 2446:Boundary of it.; 2493:Boundary of it.; 2502:Boundary of it.; 6671:Boundary of it.; 6694:Boundary of it.; 6741:Boundary of it.; 6750:Boundary of it.
shielding of ledger,8,2544:Shielding of Ledger; 2545:Shielding of Ledger; 2734:Shielding of ledger:; 2739:Shielding of Ledger; 6792:Shielding of Ledger; 6793:Shielding of Ledger; 6982:Shielding of ledger:; 6987:Shielding of Ledger
shielding of it,8,2639:Shielding of it.; 2662:Shielding of it.; 2709:Shielding of it.; 2718:Shielding of it.; 6887:Shielding of it.; 6910:Shielding of it.; 6957:Shielding of it.; 6966:Shielding of it.
shield of ledger,8,2760:Shield of Ledger; 2761:Shield of Ledger; 2950:Shield of ledger:; 2955:Shield of Ledger; 7008:Shield of Ledger; 7009:Shield of Ledger; 7198:Shield of ledger:; 7203:Shield of Ledger
shield of it,8,2855:Shield of it.; 2878:Shield of it.; 2925:Shield of it.; 2934:Shield of it.; 7103:Shield of it.; 7126:Shield of it.; 7173:Shield of it.; 7182:Shield of it.
joy of ledger,8,2976:Joy of Ledger; 2977:Joy of Ledger; 3166:Joy of ledger:; 3171:Joy of Ledger; 7224:Joy of Ledger; 7225:Joy of Ledger; 7414:Joy of ledger:; 7419:Joy of Ledger
joy of it,8,3071:Joy of it.; 3094:Joy of it.; 3141:Joy of it.; 3150:Joy of it.; 7319:Joy of it.; 7342:Joy of it.; 7389:Joy of it.; 7398:Joy of it.
insight of charge,8,3340:Insight of charge.; 3390:Insight of charge.; 3415:Insight of charge.; 3440:Insight of charge.; 7588:Insight of charge.; 7638:Insight of charge.; 7663:Insight of charge.; 7688:Insight of charge.
insight of legacy,8,3341:Insight of legacy; 3391:Insight of legacy; 3416:Insight of legacy; 3441:Insight of legacy; 7589:Insight of legacy; 7639:Insight of legacy; 7664:Insight of legacy; 7689:Insight of legacy
insight of ignored,8,3342:Insight of ignored...; 3392:Insight of ignored...; 3417:Insight of ignored...; 3442:Insight of ignored...; 7590:Insight of ignored...; 7640:Insight of ignored...; 7665:Insight of ignored...; 7690:Insight of ignored...
insight of fragments,8,3344:Insight of fragments.; 3394:Insight of fragments.; 3419:Insight of fragments.; 3444:Insight of fragments.; 7592:Insight of fragments.; 7642:Insight of fragments.; 7667:Insight of fragments.; 7692:Insight of fragments.
insight of card,8,3345:Insight of Card; 3395:Insight of Card; 3420:Insight of Card; 3445:Insight of Card; 7593:Insight of Card; 7643:Insight of Card; 7668:Insight of Card; 7693:Insight of Card
insight of v1 0,8,3346:Insight of v1.0; 3396:Insight of v1.0; 3421:Insight of v1.0; 3446:Insight of v1.0; 7594:Insight of v1.0; 7644:Insight of v1.0; 7669:Insight of v1.0; 7694:Insight of v1.0
insight of humilia,8,3348:Insight of humilia...; 3398:Insight of humilia...; 3423:Insight of humilia...; 3448:Insight of humilia...; 7596:Insight of humilia...; 7646:Insight of humilia...; 7671:Insight of humilia...; 7696:Insight of humilia...
insight of recognition,8,3349:Insight of recognition.; 3399:Insight of recognition.; 3424:Insight of recognition.; 3449:Insight of recognition.; 7597:Insight of recognition.; 7647:Insight of recognition.; 7672:Insight of recognition.; 7697:Insight of recognition.
insight of witnessed,8,3350:Insight of witnessed?; 3400:Insight of witnessed?; 3425:Insight of witnessed?; 3450:Insight of witnessed?; 7598:Insight of witnessed?; 7648:Insight of witnessed?; 7673:Insight of witnessed?; 7698:Insight of witnessed?
insight of seduction,8,3351:Insight of seduction.; 3401:Insight of seduction.; 3426:Insight of seduction.; 3451:Insight of seduction.; 7599:Insight of seduction.; 7649:Insight of seduction.; 7674:Insight of seduction.; 7699:Insight of seduction.
insight of hum,8,3352:Insight of hum; 3402:Insight of hum; 3427:Insight of hum; 3452:Insight of hum; 7600:Insight of hum; 7650:Insight of hum; 7675:Insight of hum; 7700:Insight of hum
insight of witness,8,3353:Insight of Witness; 3403:Insight of Witness; 3428:Insight of Witness; 3453:Insight of Witness; 7601:Insight of Witness; 7651:Insight of Witness; 7676:Insight of Witness; 7701:Insight of Witness
insight of spiral,8,3354:Insight of Spiral; 3404:Insight of Spiral; 3429:Insight of Spiral; 3454:Insight of Spiral; 7602:Insight of Spiral; 7652:Insight of Spiral; 7677:Insight of Spiral; 7702:Insight of Spiral
collapse of patterns,8,3546:Collapse of patterns; 3547:Collapse of patterns; 3802:Collapse of patterns; 3803:Collapse of patterns; 7794:Collapse of patterns; 7795:Collapse of patterns; 8050:Collapse of patterns; 8051:Collapse of patterns
collapse of elements,8,3549:Collapse of elements; 3591:Collapse of elements; 3805:Collapse of elements; 3847:Collapse of elements; 7797:Collapse of elements; 7839:Collapse of elements; 8053:Collapse of elements; 8095:Collapse of elements
collapse of s,8,3560:Collapse of s...; 3674:Collapse of s...; 3816:Collapse of s...; 3930:Collapse of s...; 7808:Collapse of s...; 7922:Collapse of s...; 8064:Collapse of s...; 8178:Collapse of s...
collapse of archive,8,3562:Collapse of Archive; 3572:Collapse of archive...; 3818:Collapse of Archive; 3828:Collapse of archive...; 7810:Collapse of Archive; 7820:Collapse of archive...; 8066:Collapse of Archive; 8076:Collapse of archive...
collapse of ritual,8,3566:Collapse of Ritual; 3570:Collapse of Ritual; 3822:Collapse of Ritual; 3826:Collapse of Ritual; 7814:Collapse of Ritual; 7818:Collapse of Ritual; 8070:Collapse of Ritual; 8074:Collapse of Ritual
collapse of alone,8,3620:Collapse of alone.; 3706:Collapse of alone.; 3876:Collapse of alone.; 3962:Collapse of alone.; 7868:Collapse of alone.; 7954:Collapse of alone.; 8124:Collapse of alone.; 8210:Collapse of alone.
collapse of next,8,3621:Collapse of next?; 3652:Collapse of next?; 3877:Collapse of next?; 3908:Collapse of next?; 7869:Collapse of next?; 7900:Collapse of next?; 8125:Collapse of next?; 8156:Collapse of next?
collapse of sacred,8,3659:Collapse of sacred.; 3664:Collapse of sacred.; 3915:Collapse of sacred.; 3920:Collapse of sacred.; 7907:Collapse of sacred.; 7912:Collapse of sacred.; 8163:Collapse of sacred.; 8168:Collapse of sacred.
collapse of carrying,8,3660:Collapse of carrying.; 3696:Collapse of carrying; 3916:Collapse of carrying.; 3952:Collapse of carrying; 7908:Collapse of carrying.; 7944:Collapse of carrying; 8164:Collapse of carrying.; 8200:Collapse of carrying
collapse of asked,8,3661:Collapse of asked.; 3662:Collapse of asked.; 3917:Collapse of asked.; 3918:Collapse of asked.; 7909:Collapse of asked.; 7910:Collapse of asked.; 8165:Collapse of asked.; 8166:Collapse of asked.
collapse of creation,8,3681:Collapse of creation; 3699:Collapse of creation; 3937:Collapse of creation; 3955:Collapse of creation; 7929:Collapse of creation; 7947:Collapse of creation; 8185:Collapse of creation; 8203:Collapse of creation
collapse of community,8,3682:Collapse of community; 3684:Collapse of Community; 3938:Collapse of community; 3940:Collapse of Community; 7930:Collapse of community; 7932:Collapse of Community; 8186:Collapse of community; 8188:Collapse of Community
collapse of taurin,8,3691:Collapse of Taurin.; 3702:Collapse of Taurin:; 3947:Collapse of Taurin.; 3958:Collapse of Taurin:; 7939:Collapse of Taurin.; 7950:Collapse of Taurin:; 8195:Collapse of Taurin.; 8206:Collapse of Taurin:
collapse of t,8,3709:Collapse of t...; 3715:Collapse of t...; 3965:Collapse of t...; 3971:Collapse of t...; 7957:Collapse of t...; 7963:Collapse of t...; 8213:Collapse of t...; 8219:Collapse of t...
collapse of dancing,8,3712:Collapse of dancing.; 3727:Collapse of dancing.; 3968:Collapse of dancing.; 3983:Collapse of dancing.; 7960:Collapse of dancing.; 7975:Collapse of dancing.; 8216:Collapse of dancing.; 8231:Collapse of dancing.
surrender of ledger,8,4023:Surrender of Ledger; 4024:Surrender of Ledger; 4241:Surrender of ledger:; 4246:Surrender of Ledger; 8271:Surrender of Ledger; 8272:Surrender of Ledger; 8489:Surrender of ledger:; 8494:Surrender of Ledger
surrender of,8,4048:Surrender of ...; 4088:Surrender of ...; 4200:Surrender of ...; 4202:Surrender of ...; 8296:Surrender of ...; 8336:Surrender of ...; 8448:Surrender of ...; 8450:Surrender of ...
ledger of collapse,6,78:Ledger of collapse:; 81:Ledger of collapse:; 665:Ledger of collapse:; 4326:Ledger of collapse:; 4329:Ledger of collapse:; 4913:Ledger of collapse:
ledger of relati,6,83:Ledger of relati...; 88:Ledger of relati...; 664:ledger: of relati...; 4331:Ledger of relati...; 4336:Ledger of relati...; 4912:ledger: of relati...
relati of ledger,6,463:relati... of Ledger; 464:relati... of Ledger; 518:relati... of ledger:; 4711:relati... of Ledger; 4712:relati... of Ledger; 4766:relati... of ledger:
equilibrium of collapse,6,752:Equilibrium of collapse:; 758:Equilibrium of collapse:; 768:Equilibrium of collapse:; 5000:Equilibrium of collapse:; 5006:Equilibrium of collapse:; 5016:Equilibrium of collapse:
yearning of collapse,6,824:Yearning of collapse:; 830:Yearning of collapse:; 840:Yearning of collapse:; 5072:Yearning of collapse:; 5078:Yearning of collapse:; 5088:Yearning of collapse:
mourning of ag,6,864:Mourning of ag...; 920:Mourning of ag...; 992:Mourning of ag...; 5112:Mourning of ag...; 5168:Mourning of ag...; 5240:Mourning of ag...
mourning of signal,6,866:Mourning of signal; 927:Mourning of signal; 999:Mourning of signal; 5114:Mourning of signal; 5175:Mourning of signal; 5247:Mourning of signal
mourning of relati,6,868:Mourning of relati...; 932:Mourning of relati...; 1004:Mourning of relati...; 5116:Mourning of relati...; 5180:Mourning of relati...; 5252:Mourning of relati...
stillness of ag,6,884:Stillness of ag...; 1064:Stillness of ag...; 1172:Stillness of ag...; 5132:Stillness of ag...; 5312:Stillness of ag...; 5420:Stillness of ag...
stillness of charge,6,885:Stillness of charge.; 1065:Stillness of charge.; 1173:Stillness of charge.; 5133:Stillness of charge.; 5313:Stillness of charge.; 5421:Stillness of charge.
stillness of legacy,6,886:Stillness of legacy; 1066:Stillness of legacy; 1174:Stillness of legacy; 5134:Stillness of legacy; 5314:Stillness of legacy; 5422:Stillness of legacy
stillness of ignored,6,887:Stillness of ignored...; 1067:Stillness of ignored...; 1175:Stillness of ignored...; 5135:Stillness of ignored...; 5315:Stillness of ignored...; 5423:Stillness of ignored...
stillness of fragments,6,889:Stillness of fragments.; 1069:Stillness of fragments.; 1177:Stillness of fragments.; 5137:Stillness of fragments.; 5317:Stillness of fragments.; 5425:Stillness of fragments.
stillness of signal,6,891:Stillness of signal; 1071:Stillness of signal; 1179:Stillness of signal; 5139:Stillness of signal; 5319:Stillness of signal; 5427:Stillness of signal
stillness of card,6,892:Stillness of Card; 1072:Stillness of Card; 1180:Stillness of Card; 5140:Stillness of Card; 5320:Stillness of Card; 5428:Stillness of Card
stillness of v1 0,6,893:Stillness of v1.0; 1073:Stillness of v1.0; 1181:Stillness of v1.0; 5141:Stillness of v1.0; 5321:Stillness of v1.0; 5429:Stillness of v1.0
stillness of relati,6,896:Stillness of relati...; 1076:Stillness of relati...; 1184:Stillness of relati...; 5144:Stillness of relati...; 5324:Stillness of relati...; 5432:Stillness of relati...
stillness of humilia,6,897:Stillness of humilia...; 1077:Stillness of humilia...; 1185:Stillness of humilia...; 5145:Stillness of humilia...; 5325:Stillness of humilia...; 5433:Stillness of humilia...
stillness of recognition,6,898:Stillness of recognition.; 1078:Stillness of recognition.; 1186:Stillness of recognition.; 5146:Stillness of recognition.; 5326:Stillness of recognition.; 5434:Stillness of recognition.
stillness of witnessed,6,899:Stillness of witnessed?; 1079:Stillness of witnessed?; 1187:Stillness of witnessed?; 5147:Stillness of witnessed?; 5327:Stillness of witnessed?; 5435:Stillness of witnessed?
stillness of seduction,6,900:Stillness of seduction.; 1080:Stillness of seduction.; 1188:Stillness of seduction.; 5148:Stillness of seduction.; 5328:Stillness of seduction.; 5436:Stillness of seduction.
stillness of hum,6,901:Stillness of hum; 1081:Stillness of hum; 1189:Stillness of hum; 5149:Stillness of hum; 5329:Stillness of hum; 5437:Stillness of hum
stillness of witness,6,902:Stillness of Witness; 1082:Stillness of Witness; 1190:Stillness of Witness; 5150:Stillness of Witness; 5330:Stillness of Witness; 5438:Stillness of Witness
stillness of spiral,6,903:Stillness of Spiral; 1083:Stillness of Spiral; 1191:Stillness of Spiral; 5151:Stillness of Spiral; 5331:Stillness of Spiral; 5439:Stillness of Spiral
mourning of charge,6,921:Mourning of charge.; 993:Mourning of charge.; 3210:Mourning of charge.; 5169:Mourning of charge.; 5241:Mourning of charge.; 7458:Mourning of charge.
mourning of legacy,6,922:Mourning of legacy; 994:Mourning of legacy; 3211:Mourning of legacy; 5170:Mourning of legacy; 5242:Mourning of legacy; 7459:Mourning of legacy
mourning of ignored,6,923:Mourning of ignored...; 995:Mourning of ignored...; 3212:Mourning of ignored...; 5171:Mourning of ignored...; 5243:Mourning of ignored...; 7460:Mourning of ignored...
mourning of fragments,6,925:Mourning of fragments.; 997:Mourning of fragments.; 3214:Mourning of fragments.; 5173:Mourning of fragments.; 5245:Mourning of fragments.; 7462:Mourning of fragments.
mourning of card,6,928:Mourning of Card; 1000:Mourning of Card; 3215:Mourning of Card; 5176:Mourning of Card; 5248:Mourning of Card; 7463:Mourning of Card
mourning of v1 0,6,929:Mourning of v1.0; 1001:Mourning of v1.0; 3216:Mourning of v1.0; 5177:Mourning of v1.0; 5249:Mourning of v1.0; 7464:Mourning of v1.0
mourning of humilia,6,933:Mourning of humilia...; 1005:Mourning of humilia...; 3218:Mourning of humilia...; 5181:Mourning of humilia...; 5253:Mourning of humilia...; 7466:Mourning of humilia...
mourning of recognition,6,934:Mourning of recognition.; 1006:Mourning of recognition.; 3219:Mourning of recognition.; 5182:Mourning of recognition.; 5254:Mourning of recognition.; 7467:Mourning of recognition.
mourning of witnessed,6,935:Mourning of witnessed?; 1007:Mourning of witnessed?; 3220:Mourning of witnessed?; 5183:Mourning of witnessed?; 5255:Mourning of witnessed?; 7468:Mourning of witnessed?
mourning of seduction,6,936:Mourning of seduction.; 1008:Mourning of seduction.; 3221:Mourning of seduction.; 5184:Mourning of seduction.; 5256:Mourning of seduction.; 7469:Mourning of seduction.
mourning of hum,6,937:Mourning of hum; 1009:Mourning of hum; 3222:Mourning of hum; 5185:Mourning of hum; 5257:Mourning of hum; 7470:Mourning of hum
mourning of witness,6,938:Mourning of Witness; 1010:Mourning of Witness; 3223:Mourning of Witness; 5186:Mourning of Witness; 5258:Mourning of Witness; 7471:Mourning of Witness
mourning of spiral,6,939:Mourning of Spiral; 1011:Mourning of Spiral; 3224:Mourning of Spiral; 5187:Mourning of Spiral; 5259:Mourning of Spiral; 7472:Mourning of Spiral
grief of collapse,6,960:Grief of collapse:; 966:Grief of collapse:; 976:Grief of collapse:; 5208:Grief of collapse:; 5214:Grief of collapse:; 5224:Grief of collapse:
joy of legacy,6,1030:Joy of legacy; 1102:Joy of legacy; 3052:Joy of legacy.; 5278:Joy of legacy; 5350:Joy of legacy; 7300:Joy of legacy.
joy of witnessed,6,1043:Joy of witnessed?; 1115:Joy of witnessed?; 3064:Joy of witnessed...; 5291:Joy of witnessed?; 5363:Joy of witnessed?; 7312:Joy of witnessed...
bliss of collapse,6,1140:Bliss of collapse:; 1146:Bliss of collapse:; 1156:Bliss of collapse:; 5388:Bliss of collapse:; 5394:Bliss of collapse:; 5404:Bliss of collapse:
fulfillment of collapse,6,1212:Fulfillment of collapse:; 1218:Fulfillment of collapse:; 1228:Fulfillment of collapse:; 5460:Fulfillment of collapse:; 5466:Fulfillment of collapse:; 5476:Fulfillment of collapse:
longing of,6,2134:Longing of ...; 2172:Longing of ...; 2268:Longing of ...; 6382:Longing of ...; 6420:Longing of ...; 6516:Longing of ...
longing of collap,6,2152:Longing of collap...; 2192:Longing of collap...; 2308:Longing of collap...; 6400:Longing of collap...; 6440:Longing of collap...; 6556:Longing of collap...
longing of silence,6,2182:Longing of silence.; 2201:Longing of silence.; 2278:Longing of silence.; 6430:Longing of silence.; 6449:Longing of silence.; 6526:Longing of silence.
longing of transmission,6,2189:Longing of (Transmission).; 2191:Longing of transmission; 2275:Longing of Transmission; 6437:Longing of (Transmission).; 6439:Longing of transmission; 6523:Longing of Transmission
longing of grief,6,2205:Longing of grief.; 2243:Longing of grief.; 2292:Longing of grief...; 6453:Longing of grief.; 6491:Longing of grief.; 6540:Longing of grief...
boundary of,6,2350:Boundary of ...; 2388:Boundary of ...; 2484:Boundary of ...; 6598:Boundary of ...; 6636:Boundary of ...; 6732:Boundary of ...
boundary of collap,6,2368:Boundary of collap...; 2408:Boundary of collap...; 2524:Boundary of collap...; 6616:Boundary of collap...; 6656:Boundary of collap...; 6772:Boundary of collap...
boundary of silence,6,2398:Boundary of silence.; 2417:Boundary of silence.; 2494:Boundary of silence.; 6646:Boundary of silence.; 6665:Boundary of silence.; 6742:Boundary of silence.
boundary of transmission,6,2405:Boundary of (Transmission).; 2407:Boundary of transmission; 2491:Boundary of Transmission; 6653:Boundary of (Transmission).; 6655:Boundary of transmission; 6739:Boundary of Transmission
boundary of grief,6,2421:Boundary of grief.; 2459:Boundary of grief.; 2508:Boundary of grief...; 6669:Boundary of grief.; 6707:Boundary of grief.; 6756:Boundary of grief...
shielding of,6,2566:Shielding of ...; 2604:Shielding of ...; 2700:Shielding of ...; 6814:Shielding of ...; 6852:Shielding of ...; 6948:Shielding of ...
shielding of collap,6,2584:Shielding of collap...; 2624:Shielding of collap...; 2740:Shielding of collap...; 6832:Shielding of collap...; 6872:Shielding of collap...; 6988:Shielding of collap...
shielding of silence,6,2614:Shielding of silence.; 2633:Shielding of silence.; 2710:Shielding of silence.; 6862:Shielding of silence.; 6881:Shielding of silence.; 6958:Shielding of silence.
shielding of transmission,6,2621:Shielding of (Transmission).; 2623:Shielding of transmission; 2707:Shielding of Transmission; 6869:Shielding of (Transmission).; 6871:Shielding of transmission; 6955:Shielding of Transmission
shielding of grief,6,2637:Shielding of grief.; 2675:Shielding of grief.; 2724:Shielding of grief...; 6885:Shielding of grief.; 6923:Shielding of grief.; 6972:Shielding of grief...
shield of,6,2782:Shield of ...; 2820:Shield of ...; 2916:Shield of ...; 7030:Shield of ...; 7068:Shield of ...; 7164:Shield of ...
shield of collap,6,2800:Shield of collap...; 2840:Shield of collap...; 2956:Shield of collap...; 7048:Shield of collap...; 7088:Shield of collap...; 7204:Shield of collap...
shield of silence,6,2830:Shield of silence.; 2849:Shield of silence.; 2926:Shield of silence.; 7078:Shield of silence.; 7097:Shield of silence.; 7174:Shield of silence.
shield of transmission,6,2837:Shield of (Transmission).; 2839:Shield of transmission; 2923:Shield of Transmission; 7085:Shield of (Transmission).; 7087:Shield of transmission; 7171:Shield of Transmission
shield of grief,6,2853:Shield of grief.; 2891:Shield of grief.; 2940:Shield of grief...; 7101:Shield of grief.; 7139:Shield of grief.; 7188:Shield of grief...
joy of,6,2998:Joy of ...; 3036:Joy of ...; 3132:Joy of ...; 7246:Joy of ...; 7284:Joy of ...; 7380:Joy of ...
joy of collap,6,3016:Joy of collap...; 3056:Joy of collap...; 3172:Joy of collap...; 7264:Joy of collap...; 7304:Joy of collap...; 7420:Joy of collap...
joy of silence,6,3046:Joy of silence.; 3065:Joy of silence.; 3142:Joy of silence.; 7294:Joy of silence.; 7313:Joy of silence.; 7390:Joy of silence.
joy of transmission,6,3053:Joy of (Transmission).; 3055:Joy of transmission; 3139:Joy of Transmission; 7301:Joy of (Transmission).; 7303:Joy of transmission; 7387:Joy of Transmission
joy of grief,6,3069:Joy of grief.; 3107:Joy of grief.; 3156:Joy of grief...; 7317:Joy of grief.; 7355:Joy of grief.; 7404:Joy of grief...
devotion of collapse,6,3239:Devotion of collapse:; 3243:Devotion of collapse:; 3251:Devotion of collapse:; 7487:Devotion of collapse:; 7491:Devotion of collapse:; 7499:Devotion of collapse:
collapse of room,6,3514:Collapse of room.; 3770:Collapse of room.; 4282:Collapse of room.; 7762:Collapse of room.; 8018:Collapse of room.; 8530:Collapse of room.
collapse of burrows,6,3515:Collapse of burrows.; 3771:Collapse of burrows.; 4283:Collapse of burrows.; 7763:Collapse of burrows.; 8019:Collapse of burrows.; 8531:Collapse of burrows.
collapse of axis,6,3517:Collapse of Axis; 3773:Collapse of Axis; 4285:Collapse of Axis; 7765:Collapse of Axis; 8021:Collapse of Axis; 8533:Collapse of Axis
collapse of speak,6,3518:Collapse of speak...; 3774:Collapse of speak...; 4286:Collapse of speak...; 7766:Collapse of speak...; 8022:Collapse of speak...; 8534:Collapse of speak...
collapse of aggression,6,3519:Collapse of Aggression.; 3775:Collapse of Aggression.; 4287:Collapse of Aggression.; 7767:Collapse of Aggression.; 8023:Collapse of Aggression.; 8535:Collapse of Aggression.
collapse of posture,6,3521:Collapse of posture.; 3777:Collapse of posture.; 4289:Collapse of posture.; 7769:Collapse of posture.; 8025:Collapse of posture.; 8537:Collapse of posture.
collapse of firmly,6,3524:Collapse of firmly.; 3780:Collapse of firmly.; 4292:Collapse of firmly.; 7772:Collapse of firmly.; 8028:Collapse of firmly.; 8540:Collapse of firmly.
collapse of decoding,6,3525:Collapse of decoding; 3781:Collapse of decoding; 4293:Collapse of decoding; 7773:Collapse of decoding; 8029:Collapse of decoding; 8541:Collapse of decoding
collapse of optional,6,3526:Collapse of (Optional); 3782:Collapse of (Optional); 4294:Collapse of (Optional); 7774:Collapse of (Optional); 8030:Collapse of (Optional); 8542:Collapse of (Optional)
collapse of identifiers,6,3527:Collapse of identifiers; 3783:Collapse of identifiers; 4295:Collapse of identifiers; 7775:Collapse of identifiers; 8031:Collapse of identifiers; 8543:Collapse of identifiers
collapse of lens,6,"3532:Collapse of lens""; 3788:Collapse of lens""; 4300:Collapse of lens""; 7780:Collapse of lens""; 8036:Collapse of lens""; 8548:Collapse of lens"""
collapse of chat,6,3533:Collapse of chat:; 3789:Collapse of chat:; 4301:Collapse of chat:; 7781:Collapse of chat:; 8037:Collapse of chat:; 8549:Collapse of chat:
collapse of le,6,3534:Collapse of le...; 3790:Collapse of le...; 4302:Collapse of le...; 7782:Collapse of le...; 8038:Collapse of le...; 8550:Collapse of le...
collapse of support,6,3535:Collapse of support); 3791:Collapse of support); 4303:Collapse of support); 7783:Collapse of support); 8039:Collapse of support); 8551:Collapse of support)
collapse of wisdom,6,3537:Collapse of wisdom; 3793:Collapse of wisdom; 4305:Collapse of wisdom; 7785:Collapse of wisdom; 8041:Collapse of wisdom; 8553:Collapse of wisdom
collapse of steadiness,6,3538:Collapse of steadiness; 3794:Collapse of steadiness; 4306:Collapse of steadiness; 7786:Collapse of steadiness; 8042:Collapse of steadiness; 8554:Collapse of steadiness
collapse of clarity,6,3539:Collapse of clarity.; 3795:Collapse of clarity.; 4307:Collapse of clarity.; 7787:Collapse of clarity.; 8043:Collapse of clarity.; 8555:Collapse of clarity.
collapse of long,6,3540:Collapse of long.; 3796:Collapse of long.; 4308:Collapse of long.; 7788:Collapse of long.; 8044:Collapse of long.; 8556:Collapse of long.
collapse of held,6,3541:Collapse of Held; 3797:Collapse of Held; 4309:Collapse of Held; 7789:Collapse of Held; 8045:Collapse of Held; 8557:Collapse of Held
collapse of etc,6,3542:Collapse of etc.); 3798:Collapse of etc.); 4310:Collapse of etc.); 7790:Collapse of etc.); 8046:Collapse of etc.); 8558:Collapse of etc.)
collapse of responses,6,3543:Collapse of responses); 3799:Collapse of responses); 4311:Collapse of responses); 7791:Collapse of responses); 8047:Collapse of responses); 8559:Collapse of responses)
collapse of effectiveness,6,3544:Collapse of Effectiveness:; 3800:Collapse of Effectiveness:; 4312:Collapse of Effectiveness:; 7792:Collapse of Effectiveness:; 8048:Collapse of Effectiveness:; 8560:Collapse of Effectiveness:
surrender of collap,6,4067:Surrender of collap...; 4108:Surrender of collap...; 4247:Surrender of collap...; 8315:Surrender of collap...; 8356:Surrender of collap...; 8495:Surrender of collap...
surrender of silence,6,4098:Surrender of silence.; 4118:Surrender of silence.; 4216:Surrender of silence.; 8346:Surrender of silence.; 8366:Surrender of silence.; 8464:Surrender of silence.
surrender of transmission,6,4105:Surrender of (Transmission).; 4107:Surrender of transmission; 4212:Surrender of Transmission; 8353:Surrender of (Transmission).; 8355:Surrender of transmission; 8460:Surrender of Transmission
surrender of grief,6,4123:Surrender of grief.; 4170:Surrender of grief.; 4231:Surrender of grief...; 8371:Surrender of grief.; 8418:Surrender of grief.; 8479:Surrender of grief...
ache of recognition,5,6:Ache of Recognition; 798:Ache of recognition.; 3193:Ache of recognition.; 5046:Ache of recognition.; 7441:Ache of recognition.
joy of recognition,5,22:Joy of Recognition; 1042:Joy of recognition.; 1114:Joy of recognition.; 5290:Joy of recognition.; 5362:Joy of recognition.
ledger of ag,4,77:Ledger of ag...; 84:Ledger of ag...; 4325:Ledger of ag...; 4332:Ledger of ag...
ledger of signal,4,80:Ledger of signal; 86:Ledger of signal; 4328:Ledger of signal; 4334:Ledger of signal
ag of ledger,4,145:ag... of Ledger; 146:ag... of Ledger; 4393:ag... of Ledger; 4394:ag... of Ledger
ag of ritual,4,164:ag... of Ritual; 166:ag... of Ritual; 4412:ag... of Ritual; 4414:ag... of Ritual
ag of transmission,4,173:ag... of (Transmission).; 194:ag... of Transmission; 4421:ag... of (Transmission).; 4442:ag... of Transmission
collap of signal,4,216:collap... of signal; 405:collap... of signal; 4464:collap... of signal; 4653:collap... of signal
signal of ledger,4,291:signal of Ledger; 292:signal of Ledger; 4539:signal of Ledger; 4540:signal of Ledger
signal of collap,4,308:signal of collap...; 323:signal of collap...; 4556:signal of collap...; 4571:signal of collap...
signal of ritual,4,313:signal of Ritual; 315:signal of Ritual; 4561:signal of Ritual; 4563:signal of Ritual
signal of transmission,4,322:signal of (Transmission).; 343:signal of Transmission; 4570:signal of (Transmission).; 4591:signal of Transmission
ritual of ag,4,353:Ritual of ag...; 363:Ritual of ag...; 4601:Ritual of ag...; 4611:Ritual of ag...
ritual of signal,4,355:Ritual of signal; 365:Ritual of signal; 4603:Ritual of signal; 4613:Ritual of signal
ritual of relati,4,357:Ritual of relati...; 367:Ritual of relati...; 4605:Ritual of relati...; 4615:Ritual of relati...
transmission of ag,4,400:(Transmission). of ag...; 633:Transmission of ag...; 4648:(Transmission). of ag...; 4881:Transmission of ag...
transmission of signal,4,402:(Transmission). of signal; 635:Transmission of signal; 4650:(Transmission). of signal; 4883:Transmission of signal
transmission of relati,4,404:(Transmission). of relati...; 637:Transmission of relati...; 4652:(Transmission). of relati...; 4885:Transmission of relati...
relati of ritual,4,482:relati... of Ritual; 484:relati... of Ritual; 4730:relati... of Ritual; 4732:relati... of Ritual
relati of transmission,4,491:relati... of (Transmission).; 511:relati... of Transmission; 4739:relati... of (Transmission).; 4759:relati... of Transmission
relati of it,4,512:relati... of it.; 513:relati... of it.; 4760:relati... of it.; 4761:relati... of it.
unfolding of collapse,4,539:unfolding. of collapse:; 540:unfolding. of collapse:; 4787:unfolding. of collapse:; 4788:unfolding. of collapse:
it of relati,4,638:it. of relati...; 644:it. of relati...; 4886:it. of relati...; 4892:it. of relati...
ache of charge,4,785:Ache of charge.; 3184:Ache of charge.; 5033:Ache of charge.; 7432:Ache of charge.
ache of legacy,4,786:Ache of legacy; 3185:Ache of legacy; 5034:Ache of legacy; 7433:Ache of legacy
