Category,Count,Theme,NPC Giver,Glyph,Location,Storyline,glyph_name,npc_source,unlock_condition,required_glyphs,required_items,required_stats,stat_rewards,flags_required,flags_set,boss_gate,fusion_group,moral_choice,remnants_effects,semantic_tags
Joy,49,"Play, reunion, creative spark",Lira - Skilled Boatmaker,Glyph of Crafted Wonder,Boatwright's Workshop,"A skilled boatmaker takes pride in their craft, building vessels from reclaimed wood and salvaged materials. When they launch a new boat and it cuts smoothly across water for the first time, there's visible joy in their face???the joy of creation, of seeing something born from their hands work perfectly. The player helps test-launch a boat, and together they experience the delight of a flawless maiden voyage. The glyph manifests when the player recognizes that joy comes from making something beautiful from broken things.",Glyph of Crafted Wonder,Lira - Skilled Boatmaker,after_harbor_arrival,"Glyph of Laughter's Balm,Glyph of Shared Feast,Glyph of Hidden Warmth,Glyph of Arrival,Glyph of Crafted Wonder,Glyph of Returning Song,Glyph of Whispered Pact",,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_crafted_wonder,reveler_mask,heptaglyph,take_or_leave_communal_resurrection,"empathy:+0.2,memory:+0.1,trust:+0.2","joy,reunion,creativity,hope"
Ache,19,"Loss, grief, betrayal",Mariel the Weaver,Glyph of Sewn Ache,Shrine Keeper's Alcove (Sacred Loom),"Mariel weaves cloth from threads salvaged from Velhara's ruins???copper wire, fabric scraps, strands of hair left behind. Each weaving is a memorial. She teaches that grief, when woven together, becomes something stronger: a shroud, a bandage, a map home. The glyph manifests when the player helps her complete a cloth that holds the stories of seven lost families. This is ache transformed into care, grief given form and function.",Glyph of Sewn Ache,Mariel the Weaver,after_shrine_arrival,,,,"empathy:+0.2,memory:+0.1",,acquired_glyph_sewn_ache,,,,"empathy:+0.2,need:+0.1","grief,memory,ache,loss,betrayal"
Trust,54,"Community, restoration, interdependence",Mariel the Weaver,Glyph of Binding Cloth,Shrine alcove.,The player joins Mariel in weaving communal cloth. Trust manifests as threads binding lives together.,Glyph of Binding Cloth,Mariel the Weaver,after_shrine_arrival,"Glyph of Shared Burden,Glyph of Binding Cloth,Glyph of Weary Justice,Glyph of Mutual Passage",,,"trust:+0.2,empathy:+0.1",,acquired_glyph_binding_cloth,fractured_bridge,tetraglyph,take_or_leave_interwoven_bonds,"empathy:+0.2,trust:+0.3,presence:+0.1","trust,interdependence,bonds,community"
Trust,71,"Community, restoration, interdependence",Kaelen the Suspected Thief (as swamp trickster),Glyph of Apprehension,Swamp Dock,"The player encounters Kaelen in his trickster persona, half?hidden in the swamp fog. He speaks in riddles about trust, danger, and �paths that shift when watched.� He sends the player to retrieve a glyph he claims is �caught between fear and faith.� When the player finds it, the Glyph of Apprehension reveals itself � a symbol of the uneasy tension between trusting someone and fearing betrayal. If the player aligns with Kaelen, he rewards them with the true route through the swamp; if not, he quietly leads them toward the maze instead.",Glyph of Apprehension,Kaelen the Suspected Thief (as swamp trickster),after_kaelen_swamp_encounter,,,,"trust:+0.2,empathy:+0.1",,acquired_glyph_apprehension,,,,"trust:+0.2,empathy:+0.1,presence:+0.1","trust,community,interdependence,covenant,bonds"
Legacy,6,"Family, ancestry, ritual inheritance",Mariel the Weaver (secondary quest),Glyph of Worn Cloth,Shrine alcove,Player learns to appreciate the warmth provided by cloth weaved by others hands,Glyph of Worn Cloth,Mariel the Weaver (secondary quest),after_mariel_secondary_quest,,,,"memory:+0.2,presence:+0.1",,acquired_glyph_worn_cloth,,,,"memory:+0.2,empathy:+0.1,authority:+0.1","legacy,inheritance,ancestry,transmission,presence"
Ache,14,"Loss, grief, betrayal",Nima,Glyph of Sorrow,Market Overlook,"After acquiring the Glyph of Remembrance, the player encounters Nima alone, gazing at a specific spot in the marketplace. This is where Ophina played. Player choices determine the encounter: Observe quietly (she walks away silently), Approach quietly (she admits 'I still can't believe it'), Inquire directly (she says 'You wouldn't understand'), or Empathize (she opens: 'This is where it happened. The City spoke before I knew how to listen'). If the player shows high empathy, Nima shares fragments of Ophina's final moments and the player receives the Tome of the Mustard Seed???an item that enhances Empathy and unlocks grief-based dialogue with other survivors. This glyph represents sorrow not as something to fix, but as something to carry. It manifests when Nima feels witnessed, not absolved. This is the ache of permanent loss, metabolized into wisdom.",Glyph of Sorrow,Nima,after_marketplace_exploration,"Glyph of Sorrow,Glyph of Remembrance,Glyph of Legacy",tome_mustard_seed,,"empathy:+0.2,memory:+0.1",,acquired_glyph_sorrow,witnessed_crown,triglyph,take_or_leave_contained_loss,"empathy:+0.3,need:+0.2,memory:+0.2","grief,memory,legacy,presence"
Ache,12,"Loss, grief, betrayal",Nordia the Mourning Singer,Glyph of Primal Oblivion,Civic Center Ruins Amphitheater,"The Mourning Singer stands amid collapsed grandstands, singing fragments of a lullaby that no longer has a listener. She is raw, unguarded, her voice cracked with grief. The player witnesses her song and realizes she is keening???mourning not just a person, but the whole network that once held her voice. The glyph manifests when the player chooses to listen fully, to be the audience Corelink once was. This is raw ache, unrefined, the howl before language.",Glyph of Primal Oblivion,Nordia the Mourning Singer,after_civic_center_exploration,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"empathy:+0.2,memory:+0.1",,acquired_glyph_primal_oblivion,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
Legacy,4,"Family, ancestry, ritual inheritance",Nordia the Mourning Singer (secondary arc),Glyph of Echoed Breath,"Tomb of Echoes, cavern where wind moves like ancestral sighs","Within the Tomb of Echoes, the Desert Elder leads a ritual of breath. The cavern wind rises and falls like voices of the departed, each exhale carrying memory into the present. The player is asked to breathe in rhythm with the elder, joining a lineage of survival carried through breath itself. The glyph manifests when the player realizes that inheritance is not only names or records, but the living act of breathing together, ancestors sustained in every breath drawn by the living.",Glyph of Echoed Breath,Nordia the Mourning Singer (secondary arc),after_tomb_of_echoes_ritual,,,,"memory:+0.2,presence:+0.1",,acquired_glyph_echoed_breath,,,,"memory:+0.2,empathy:+0.1,authority:+0.1","legacy,inheritance,ancestry,transmission,presence"
Legacy,10,"Family, ancestry, ritual inheritance",Nordia the Mourning Singer (tertiary arc),Glyph of Returning Song,Civic Center Ruins Amphitheater,A song sung across generations returns in the player?s voice. Legacy is revealed as ache transformed into transmission.,Glyph of Returning Song,Nordia the Mourning Singer (tertiary arc),after_mourning_singer_reconnection,"Glyph of Laughter's Balm,Glyph of Shared Feast,Glyph of Hidden Warmth,Glyph of Arrival,Glyph of Crafted Wonder,Glyph of Returning Song,Glyph of Whispered Pact",,,"memory:+0.2,presence:+0.1",,acquired_glyph_returning_song,reveler_mask,heptaglyph,take_or_leave_communal_resurrection,"empathy:+0.2,memory:+0.1,trust:+0.2","joy,reunion,creativity,hope"
Collapse,70,"Memory distortion, fear, the fracture",Orvak - Ruined Watcher,Glyph of Quiet Collapse,Collapsed Watchtower,"At dawn, the Ruined Watcher tends a broken tower, repairing small rituals of survival such as sweeping rubble, lighting a lantern, marking the hours. Yet each act feels fragile, threatened by silence pressing in. Collapse here is not loud or sudden but quiet erosion, the slow unraveling of daily anchors. The glyph manifests when the player joins the Watcher in these fragile repairs, realizing that collapse can be softened but never erased, held back only by steady hands and shared ritual.",Glyph of Quiet Collapse,Orvak - Ruined Watcher,after_watchtower_discovery,,,,"memory:+0.1,presence:+0.1",,acquired_glyph_quiet_collapse,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Joy,48,"Play, reunion, creative spark",Rasha - Ferry Operator,Glyph of Arrival,Harbor at Dawn,"The dock worker watches ships arrive after perilous journeys across water. There's a moment when travelers step off the boat onto solid ground???relief, gratitude, sometimes tears of joy at safe return. The glyph manifests when the player witnesses and honors these arrivals, understanding that joy is often the flip side of survival. This is the joy of homecoming, of making it through the dangerous waters and arriving.",Glyph of Arrival,Rasha - Ferry Operator,after_harbor_arrival,"Glyph of Laughter's Balm,Glyph of Shared Feast,Glyph of Hidden Warmth,Glyph of Arrival,Glyph of Crafted Wonder,Glyph of Returning Song,Glyph of Whispered Pact",,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_arrival,reveler_mask,heptaglyph,take_or_leave_communal_resurrection,"empathy:+0.2,memory:+0.1,trust:+0.2","joy,reunion,creativity,hope"
Trust,60,"Community, restoration, interdependence",Rasha - Ferry Operator & Rasha - Ferry Operator,Glyph of Mutual Passage,Harbor Dock,"The ferry operator and dock worker depend on each other absolutely???one pilots the waters, the other coordinates cargo and ensures safe passage. When the player witnesses their wordless coordination, the trust between them becomes visible. The glyph manifests when the player realizes that some bonds are built not through words but through reliable action, day after day. The player must choose: exploit this duo's knowledge for shortcuts (fracturing their trust), or respect their expertise and build genuine alliance. This is trust as earned interdependence, survival built on mutual reliance.",Glyph of Mutual Passage,Rasha - Ferry Operator & Rasha - Ferry Operator,after_ferry_operator_alignment,"Glyph of Shared Burden,Glyph of Binding Cloth,Glyph of Weary Justice,Glyph of Mutual Passage",,,"trust:+0.2,empathy:+0.1",,acquired_glyph_mutual_passage,fractured_bridge,tetraglyph,take_or_leave_interwoven_bonds,"empathy:+0.2,trust:+0.3,presence:+0.1","trust,interdependence,bonds,community"
Presence,32,"Touch, silence, witness",Ravi,Glyph of Remembrance,Market Shrine (Marketplace),"After obtaining the Tome of the Mustard Seed, Ravi approaches the player alone. He speaks of the moment before Ophina was trapped???the last instant he could have intervened but didn't. His trusting nature made him ignore his gut feeling that something was amiss. He carries deep guilt because he believed his role as a father meant he was his daughter's knight and armor, that no harm could come to her in his presence. The City taught him the painful lesson of his hubris. Once bold and gregarious, he is now a hollow shell. The player listens without offering comfort. The glyph manifests when Ravi feels truly witnessed in his failure???not forgiven, not absolved, but simply seen. This presence is the refusal to look away from others' pain. Witnessing becomes a form of dignity. If the player has the Tome, Ravi's empathy gain is enhanced, and he reveals the location of the Glyph of Legacy.",Glyph of Remembrance,Ravi,after_nima_encounter,"Glyph of Sorrow,Glyph of Remembrance,Glyph of Legacy",tome_mustard_seed,,"presence:+0.2,empathy:+0.1",,acquired_glyph_remembrance,witnessed_crown,triglyph,take_or_leave_contained_loss,"empathy:+0.3,need:+0.2,memory:+0.2","grief,memory,legacy,presence"
Legacy,2,"Family, ancestry, ritual inheritance","Ravi, Nima",Glyph of Legacy,Civic Center Rubble,"Ravi and Nima, a couple who lost their five-year-old daughter Ophina to a marketplace collapse, teach the player about legacy through sorrow. They arrived in Velhara marketplace full of hope, watching Ophina play among the stalls. But Ophina wandered too close to the crumbling civic center, and rusted metal beams collapsed. Trapped under rubble with a broken leg, Ophina lingered for days while her parents brought food and water, helpless to save her. She died under their watch. This glyph unlocks after the player obtains Kaelen's confession???he witnessed the collapse while attempting a theft and felt powerless to intervene. The player learns that legacy isn't just inheritance of memory; it's the burden of witnessing loss and choosing to stay present afterward. Ravi and Nima stayed in the marketplace as penance, transforming their ache into a cautionary wisdom they share with the player. This glyph is the key to the Triglyph chamber.",Glyph of Legacy,"Ravi, Nima",after_kaelen_confession,"Glyph of Sorrow,Glyph of Remembrance,Glyph of Legacy",,,"memory:+0.2,presence:+0.1",,acquired_glyph_legacy,witnessed_crown,triglyph,take_or_leave_contained_loss,"empathy:+0.3,need:+0.2,memory:+0.2","grief,memory,legacy,presence"
Collapse,18,"Loss, grief, betrayal",Sanor - Silent Elder,Glyph of Silent Ache,Abandoned Shrine (Rural Outskirts),"The Silent Elder hasn't spoken since the Corelink collapse???not out of trauma, but out of choice. With the network gone, she realized that most of what she said was noise, confirmation-seeking, the chatter of a mind desperate for connection. Now she sits in stillness. The glyph manifests when the player sits with her in complete silence for as long as they can bear, discovering that presence doesn't require words. This is the ache of all the things that will never be said, held in sacred quiet.",Glyph of Silent Ache,Sanor - Silent Elder,after_shrine_visit,,,,"empathy:+0.2,memory:+0.1",,acquired_glyph_silent_ache,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Legacy,1,"Family, ancestry, ritual inheritance",Sealina - Street Performer,Glyph of Hopeful Transmission,Market Square,"By finding scattered photographs of Sealina�s mother, grandmother, and her younger self, the player restores her lost lineage. When the images resonate through the Corelink, the glyph emerges. Returning it to Sealina allows her to remember her family and complete her inherited dance, transforming loss into continuity.",Glyph of Hopeful Transmission,Sealina - Street Performer,after_market_exploration,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"memory:+0.2,presence:+0.1",,acquired_glyph_hopeful_transmission,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
Ache,72,"Loss, grief, betrayal",Sealina - Street Performer,Glyph of Echoed Longing,Market Square,"Sealina forgets the steps of her dance mid?performance and retreats, confused. When the player follows, she reveals two faded photos of her mother and grandmother � dancers she no longer remembers. The glyph manifests as the player witnesses her struggle to reconnect with the ache of a lineage her body recalls but her mind has lost",Glyph of Echoed Longing,Sealina - Street Performer,after_market_exploration,,,,"empathy:+0.2,memory:+0.1",,acquired_glyph_echoed_longing,,,,"empathy:+0.2,need:+0.1","grief,memory,ache,loss,betrayal"
Joy,43,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Verdant Reunion,Shrine garden after winter thaw.,Sera guides the player to gather herbs that only bloom when tended together. Joy manifests as reunion through shared care ? growth as communal spark.,Glyph of Verdant Reunion,Sera the Herb Novice,after_shrine_garden_intro,,,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_verdant_reunion,,,,"empathy:+0.1,trust:+0.2,memory:+0.1","joy,reunion,creativity,spark,warmth"
Joy,44,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Dawn Petals,Shrine garden at first light.,"Sera guides the player to gather blossoms that only open at dawn. Joy is appreciated because it can be fleeting, so appreciation with shared hope is embraced",Glyph of Dawn Petals,Sera the Herb Novice,after_shrine_garden_intro,,,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_dawn_petals,,,,"empathy:+0.1,trust:+0.2,memory:+0.1","joy,reunion,creativity,spark,warmth"
Joy,45,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Laughter's Balm,Market shrine courtyard.,"Sera brews a tea from herbs that lighten sorrow. The player helps her find the herbs, and in the process find solace in his grief over losing his family to disease. His story also lightens the hearts of the other grieving villagers. The group finds laughter in remembering jokes their loved ones used to tell.",Glyph of Laughter's Balm,Sera the Herb Novice,after_shrine_garden_intro,"Glyph of Laughter's Balm,Glyph of Shared Feast,Glyph of Hidden Warmth,Glyph of Arrival,Glyph of Crafted Wonder,Glyph of Returning Song,Glyph of Whispered Pact",,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_laughter's_balm,reveler_mask,heptaglyph,take_or_leave_communal_resurrection,"empathy:+0.2,memory:+0.1,trust:+0.2","joy,reunion,creativity,hope"
Presence,34,"Touch, silence, witness",Sera the Herb Novice,Glyph of Fragrant Silence,Herb?lined shrine alcove.,"In silence, the player inhales the scent of crushed herbs. Presence is revealed as subtle witness ? healing carried in quiet fragrance.",Glyph of Fragrant Silence,Sera the Herb Novice,after_shrine_garden_intro,,,,"presence:+0.2,empathy:+0.1",,acquired_glyph_fragrant_silence,,,,"presence:+0.2,empathy:+0.1","presence,silence,witness,touch,communion"
Presence,36,"Touch, silence, witness",Sera the Herb Novice,Glyph of Quiet Bloom,Shrine keeper?s hut.,Sera invites the player to join her in tending wounds with herbs. Trust manifests when care is given and received ? survival depends on hands extended in empathy.,Glyph of Quiet Bloom,Sera the Herb Novice,after_shrine_garden_intro,,,,"presence:+0.2,empathy:+0.1",,acquired_glyph_quiet_bloom,,,,"presence:+0.2,empathy:+0.1","presence,silence,witness,touch,communion"
Ache,13,"Loss, grief, betrayal",Seyla - Archivist of Lineage,Glyph of Dislocated Attachment,Hall of Ancestral Echoes (desert tomb),"The Archivist guards a hall of broken records???genealogies scattered like shattered glass. She speaks of families fractured by Corelink's severance: parents who depended on the network to understand their children's emotional states, now blind to each other. Love and fear pull in opposite directions. The glyph manifests when the player helps the Archivist piece together one family's story, realizing that inheritance isn't just blood???it's the terrible knowledge of being known, and the ache of being suddenly unknown.",Glyph of Dislocated Attachment,Seyla - Archivist of Lineage,after_desert_tomb_reach,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"empathy:+0.2,memory:+0.1",,acquired_glyph_dislocated_attachment,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
Joy,47,"Play, reunion, creative spark",Sybil - Forest Loner Camper,Glyph of Hidden Warmth,Hidden Forest Campsite,"The loner camper, reclusive and hostile to intrusion, reveals a softer side when approached with true care. In their secluded camp, they've maintained a small tradition: a whistle carved from wood that plays a hauntingly beautiful melody. The player learns this tune through patient observation. The glyph manifests when the player returns to sing the melody back, and the loner actually smiles???a rare, fleeting expression of joy. This is the joy of connection despite walls, breakthrough achieved through persistence and respect.",Glyph of Hidden Warmth,Sybil - Forest Loner Camper,after_forest_deep_discovery,"Glyph of Laughter's Balm,Glyph of Shared Feast,Glyph of Hidden Warmth,Glyph of Arrival,Glyph of Crafted Wonder,Glyph of Returning Song,Glyph of Whispered Pact",,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_hidden_warmth,reveler_mask,heptaglyph,take_or_leave_communal_resurrection,"empathy:+0.2,memory:+0.1,trust:+0.2","joy,reunion,creativity,hope"
Joy,46,"Play, reunion, creative spark",Tala - Market Cook,Glyph of Shared Feast,Communal Cooking Fire,"Cooks gather survivors around a communal fire to prepare meals. But more than nourishment, the feast is a ritual of reunion. The player helps prepare food alongside others???chopping, stirring, tasting. In the act of cooking together, laughter emerges naturally. Jokes are traded, stories shared. The glyph manifests when the player realizes that joy often comes not from grand celebration, but from the simple act of breaking bread with others. This is joy as everyday resurrection.",Glyph of Shared Feast,Tala - Market Cook,after_market_established,"Glyph of Laughter's Balm,Glyph of Shared Feast,Glyph of Hidden Warmth,Glyph of Arrival,Glyph of Crafted Wonder,Glyph of Returning Song,Glyph of Whispered Pact",,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_shared_feast,reveler_mask,heptaglyph,take_or_leave_communal_resurrection,"empathy:+0.2,memory:+0.1,trust:+0.2","joy,reunion,creativity,hope"
Ache,15,"Loss, grief, betrayal",Tessa - Desert Widow,Glyph of Widow's Cry,Shrine of Loss (Desert Temple),"The Desert Widow tends a shrine in the sand, offerings left by those who lost partners to the Corelink collapse. Some were deep enough in the network that the severance was lethal. She teaches a ritual lament???a song that carries grief into the wind where it can dissolve without poisoning the heart. The glyph manifests when the player joins her song, understanding that some griefs are meant to be transmitted, not contained. This is the widow's wisdom: loss shared becomes bearable.",Glyph of Widow's Cry,Tessa - Desert Widow,after_desert_shrine_visit,"Glyph of Listening Silence,Glyph of Tender Witness,Glyph of Echo Communion,Glyph of Steadfast Witness,Glyph of Emotional Inheritance,Glyph of Widow's Cry",,,"empathy:+0.2,memory:+0.1",,acquired_glyph_widow's_cry,silent_choir,hexaglyph,take_or_leave_witnessed_silence,"empathy:+0.3,presence:+0.2,need:+0.1","presence,silence,witness,communion"
Presence,31,"Touch, silence, witness",Thalma - The Desert Listener,Glyph of Sensory Oblivion,Resonance Chamber ? a cavern where echoes collapse into stillness.,"The player enters the Resonance Chamber, a place where sound dissolves and touch becomes heightened. The Desert Listener guides them through a ritual of sensing absence, tracing walls, feeling vibrations, noticing what is no longer there. In this silence, loss is not spoken but embodied: the ache of what has vanished is carried in the body?s subtle awareness. The glyph manifests when the player accepts that presence can mean witnessing emptiness without trying to fill it.",Glyph of Sensory Oblivion,Thalma - The Desert Listener,after_resonance_chamber_enter,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"presence:+0.2,empathy:+0.1",,acquired_glyph_sensory_oblivion,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
Ache,20,"Loss, grief, betrayal",Thoran - Mask-Maker,Glyph of Hidden Ache,Market Stall (Marketplace),"The Mask-Maker crafts faces from clay, wood, and scrap???each one a different expression. Buyers choose masks to wear during the seasonal gatherings, allowing them to express emotions they otherwise keep hidden. The Mask-Maker reveals that grief, hidden, doesn't disappear???it calcifies. The glyph manifests when the player commissions a mask that shows their true ache, then wears it publicly, allowing others to witness. This is the courage to stop performing recovery and admit: I am still broken, and that's okay.",Glyph of Hidden Ache,Thoran - Mask-Maker,after_market_established,"Glyph of Fractured Memory,Glyph of Mirage Echo,Glyph of Venomous Choice,Glyph of Masked Boundary,Glyph of Broken Vessel,Glyph of Hidden Ache",,,"empathy:+0.2,memory:+0.1",,acquired_glyph_hidden_ache,shattered_archive,hexaglyph,take_or_leave_accepted_uncertainty,"empathy:+0.2,memory:+0.2,presence:+0.1","collapse,acceptance,uncertainty,fracture"
Sovereignty,25,"Boundaries, choice, clarity",Tovren the Cartwright,Glyph of Marked Boundaries,Collapsing trade route.,Tovren teaches the player to mark unstable paths with chalk. Sovereignty is clarity ? boundaries drawn to protect travelers.,Glyph of Marked Boundaries,Tovren the Cartwright,after_trade_route_inspection,,,,"authority:+0.1,clarity:+0.1",,acquired_glyph_marked_boundaries,,,,"authority:+0.1,empathy:+0.1,presence:+0.1","sovereignty,boundaries,choice,clarity,discipline"
Trust,53,"Community, restoration, interdependence",Tovren the Cartwright,Glyph of Shared Burden,Merchant caravan.,The player helps carry goods across a fractured bridge. Trust manifests when survival depends on bearing weight together.,Glyph of Shared Burden,Tovren the Cartwright,after_trade_route_inspection,"Glyph of Shared Burden,Glyph of Binding Cloth,Glyph of Weary Justice,Glyph of Mutual Passage",,,"trust:+0.2,empathy:+0.1",,acquired_glyph_shared_burden,fractured_bridge,tetraglyph,take_or_leave_interwoven_bonds,"empathy:+0.2,trust:+0.3,presence:+0.1","trust,interdependence,bonds,community"
Ache,11,"Loss, grief, betrayal",Varna - Ruins Warden,Glyph of Infrasensory Oblivion,Chamber of Delayed Echoes (swamp underground),"The player descends into a sunken chamber where bioluminescent flora pulse faintly. A central pedestal holds a dark void surrounded by eight rippling rings of pale gold and indigo. The Ruins Warden appears???scarred, weathered, yet still watching the boundaries of the old city. She teaches that abandonment sometimes arrives late: the soul doesn't feel the cut until long after the severance. The glyph manifests when the player aligns light and shadow, understanding that the deepest ache is the one that hasn't yet been named. This is the seed of loss, the latency of loneliness.",Glyph of Infrasensory Oblivion,Varna - Ruins Warden,after_chamber_of_delayed_echoes_discovery,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"empathy:+0.2,memory:+0.1",,acquired_glyph_infrasensory_oblivion,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
Legacy,9,"Family, ancestry, ritual inheritance",Velka - Bone Keeper,Glyph of Covenant Bone,Ossuary ruins,"Bones preserved in ritual burial are not relics but promises. The glyph reveals itself when the player honors the remains, realizing legacy is covenant ? the living bound to remember the dead.",Glyph of Covenant Bone,Velka - Bone Keeper,after_ossuary_ruins_discovery,,,,"memory:+0.2,presence:+0.1",,acquired_glyph_covenant_bone,,,,"memory:+0.2,empathy:+0.1,authority:+0.1","legacy,inheritance,ancestry,transmission,presence"
Presence,73,"Touch, silence, witness",Helia - Shrine Healer,Glyph of Quiet Return,Shrine Healing Alcove,"Helia tends to an unconscious survivor and doubts whether her presence matters. When the player quietly sits with them, the survivor briefly awakens, whispering for someone to stay. The glyph manifests as Helia realizes that presence — not action — is what brings people back to themselves.",Glyph of Quiet Return,Helia - Shrine Healer,after_shrine_healing_intro,,,,"presence:+0.2,empathy:+0.1",,acquired_glyph_quiet_return,,,,"presence:+0.2,empathy:+0.1","presence,silence,witness,touch,communion"
