phrase,lemmas,pos,example,source
members of the,member of the,"NOUN,ADP,PRON","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
more,more,ADV,A woman suffering from post-partum depression could feel less guilty and more supported by being in a group with similar women.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
some,some,PRON,Group therapy also has some specific limitations.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
types of,type of,"NOUN,ADP","For those with some types of problems, such as sexual abusers, group therapy is the recommended treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
is the,be the,"AUX,PRON","For those with some types of problems, such as sexual abusers, group therapy is the recommended treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
have,have,VERB,"Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy to,therapy to,"NOUN,ADP","Some couples seek therapy to work out their problems, while others attend therapy to determine whether staying together is the best solution.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
of the family,of the family,"ADP,DET,NOUN","For example, a mother’s depression, teen daughter’s eating disorder, or father’s alcohol dependence could affect all members of the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy the,therapy the,"NOUN,PRON",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
family therapy the,family therapy the,"NOUN,NOUN,PRON",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
houston,houston,PROPN,"Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
marilyn d. lovett,marilyn d. lovett,"PROPN,PROPN,PROPN","Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
our mission,our mission,"PRON,NOUN","16.3 Treatment Modalities
Learning Objectives
Individual Therapy
Group Therapy
Couples Therapy
Family Therapy
Link to Learning
Our mission is to improve educational access and learning for everyone.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
educational access,educational access,"ADJ,NOUN","16.3 Treatment Modalities
Learning Objectives
Individual Therapy
Group Therapy
Couples Therapy
Family Therapy
Link to Learning
Our mission is to improve educational access and learning for everyone.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
everyone,everyone,PRON,"16.3 Treatment Modalities
Learning Objectives
Individual Therapy
Group Therapy
Couples Therapy
Family Therapy
Link to Learning
Our mission is to improve educational access and learning for everyone.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy couples,therapy couple,"NOUN,NOUN",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy family,therapy family,"NOUN,NOUN",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
is to,be to,"AUX,PART","16.3 Treatment Modalities
Learning Objectives
Individual Therapy
Group Therapy
Couples Therapy
Family Therapy
Link to Learning
Our mission is to improve educational access and learning for everyone.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy couples therapy,therapy couple therapy,"NOUN,NOUN,NOUN",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy family therapy,therapy family therapy,"NOUN,NOUN,NOUN",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
specific information,specific information,"ADJ,NOUN","The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the presenting problem,the presenting problem,"DET,NOUN,NOUN","The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
insurance status,insurance status,"NOUN,NOUN","The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
information,information,NOUN,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
address,address,NOUN,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
needs,need,NOUN,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
to address,to address,"PART,VERB","The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the client ’s,the client ’s,"DET,NOUN,PUNCT",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
several different modalities,several different modality,"ADJ,ADJ,NOUN","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
different,different,ADJ,"There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
most,most,ADV,"There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
are several,be several,"AUX,ADJ","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
several different,several different,"ADJ,ADJ","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
modalities of,modality of,"NOUN,ADP","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
are the,be the,"AUX,PRON","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the most,the most,"DET,ADV","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
there are several,there be several,"PRON,VERB,ADJ","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
are several different,be several different,"AUX,ADJ,ADJ","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
modalities of treatment,modality of treatment,"NOUN,ADP,NOUN","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
individual psychotherapy,individual psychotherapy,"ADJ,NOUN","In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
individual counseling,individual counseling,"ADJ,NOUN","In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
45 minutes,45 minute,"NUM,NOUN","In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
1 hour,1 hour,"NUM,NOUN","In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
also,also,ADV,"In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy also,therapy also,"NOUN,ADV",Group therapy also has some specific limitations.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
individual therapy sessions,individual therapy session,"ADJ,NOUN,NOUN","A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a year,a year,"DET,NOUN","A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
or the,or the,"CCONJ,PRON","A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy sessions,therapy session,"NOUN,NOUN","A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the amount,the amount,"DET,NOUN",The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the needs,the need,"DET,NOUN",The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
her personal goals,her personal goal,"PRON,ADJ,NOUN",The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
amount,amount,NOUN,The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
amount of,amount of,"NOUN,ADP",The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
of time,of time,"ADP,NOUN",The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
amount of time,amount of time,"NOUN,ADP,NOUN",The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
several clients,several client,"ADJ,NOUN","In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
similar problems,similar problem,"ADJ,NOUN","In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
similar,similar,ADJ,"In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
in group,in group,"ADP,NOUN","In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
with similar,with similar,"ADP,ADJ","In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
in group therapy,in group therapy,"ADP,NOUN,NOUN","In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
age,age,NOUN,"When children are placed in group therapy, it is particularly important to match clients for age and problems.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
one benefit,one benefit,"NUM,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
isolation,isolation,NOUN,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a problem,a problem,"DET,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
needed support,need support,"VERB,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
other members,other member,"ADJ,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
american psychological association,american psychological association,"PROPN,PROPN,PROPN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
benefit,benefit,NOUN,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
help,help,VERB,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
about,about,ADV,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
while,while,SCONJ,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
other,other,ADJ,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
benefit of,benefit of,"NOUN,ADP","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
is that,be that,"AUX,PRON","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
benefit of group,benefit of group,"NOUN,ADP,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy is that,therapy be that,"NOUN,AUX,SCONJ","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a woman,a woman,"DET,NOUN",A woman suffering from post-partum depression could feel less guilty and more supported by being in a group with similar women.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
similar women,similar woman,"ADJ,NOUN",A woman suffering from post-partum depression could feel less guilty and more supported by being in a group with similar women.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
depression,depression,NOUN,A woman suffering from post-partum depression could feel less guilty and more supported by being in a group with similar women.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
could,could,AUX,A woman suffering from post-partum depression could feel less guilty and more supported by being in a group with similar women.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
some specific limitations,some specific limitation,"DET,ADJ,NOUN",Group therapy also has some specific limitations.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
has,have,VERB,Group therapy also has some specific limitations.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
another benefit,another benefit,"DET,NOUN",Another benefit of group therapy is that members can confront each other about their patterns.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
their patterns,their pattern,"PRON,NOUN",Another benefit of group therapy is that members can confront each other about their patterns.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
each,each,PRON,Another benefit of group therapy is that members can confront each other about their patterns.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
their,their,PRON,Another benefit of group therapy is that members can confront each other about their patterns.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
those,those,PRON,"For those with some types of problems, such as sexual abusers, group therapy is the recommended treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
some types,some type,"DET,NOUN","For those with some types of problems, such as sexual abusers, group therapy is the recommended treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
sexual abusers,sexual abuser,"ADJ,NOUN","For those with some types of problems, such as sexual abusers, group therapy is the recommended treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the recommended treatment,the recommend treatment,"DET,VERB,NOUN","For those with some types of problems, such as sexual abusers, group therapy is the recommended treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
this population,this population,"DET,NOUN","Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
several benefits,several benefit,"ADJ,NOUN","Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
benefits,benefit,NOUN,"Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
than,than,ADP,"Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
treatment for,treatment for,"NOUN,ADP","Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
whose parents,whose parent,"DET,NOUN","For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
depth,depth,NOUN,"For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
what cancer,what cancer,"DET,NOUN","For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the side effects,the side effect,"DET,NOUN,NOUN","For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
treatments,treatment,NOUN,"For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
hair loss,hair loss,"NOUN,NOUN","For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
parents,parent,NOUN,"For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
discuss,discuss,VERB,"For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
for example,for example,"ADP,NOUN","For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
example a,example a,"NOUN,PRON",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
for example a,for example a,"ADP,NOUN,PRON",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
group therapy sessions,group therapy session,"NOUN,NOUN,NOUN","Often, group therapy sessions with children take place in school.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
place,place,NOUN,"Often, group therapy sessions with children take place in school.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
with children,with child,"ADP,NOUN","Often, group therapy sessions with children take place in school.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
in school,in school,"ADP,NOUN","Often, group therapy sessions with children take place in school.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
numerous kinds,numerous kind,"ADJ,NOUN","Whether the group is held in school or in a clinician’s office, group therapy has been found to be effective with children facing numerous kinds of challenges (Shechtman, 2002).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
challenges,challenge,NOUN,"Whether the group is held in school or in a clinician’s office, group therapy has been found to be effective with children facing numerous kinds of challenges (Shechtman, 2002).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
whether,whether,SCONJ,"Whether the group is held in school or in a clinician’s office, group therapy has been found to be effective with children facing numerous kinds of challenges (Shechtman, 2002).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
be,be,AUX,"Whether the group is held in school or in a clinician’s office, group therapy has been found to be effective with children facing numerous kinds of challenges (Shechtman, 2002).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
two people,two people,"NUM,NOUN",Couples therapy involves two people in an intimate relationship who are having difficulties and are trying to resolve them ( Figure 16.17 ).,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
an intimate relationship,an intimate relationship,"DET,ADJ,NOUN",Couples therapy involves two people in an intimate relationship who are having difficulties and are trying to resolve them ( Figure 16.17 ).,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
difficulties,difficulty,NOUN,Couples therapy involves two people in an intimate relationship who are having difficulties and are trying to resolve them ( Figure 16.17 ).,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
rathus,rathus,PROPN,"The primary therapeutic orientation used in couples counseling is cognitive-behavioral therapy (Rathus & Sanderson, 1999).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
sanderson,sanderson,PROPN,"The primary therapeutic orientation used in couples counseling is cognitive-behavioral therapy (Rathus & Sanderson, 1999).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
in couples,in couple,"ADP,NOUN","The primary therapeutic orientation used in couples counseling is cognitive-behavioral therapy (Rathus & Sanderson, 1999).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
some couples,some couple,"DET,NOUN","Some couples seek therapy to work out their problems, while others attend therapy to determine whether staying together is the best solution.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
their problems,their problem,"PRON,NOUN","Some couples seek therapy to work out their problems, while others attend therapy to determine whether staying together is the best solution.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
others,other,NOUN,"Some couples seek therapy to work out their problems, while others attend therapy to determine whether staying together is the best solution.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the best solution,the good solution,"DET,ADJ,NOUN","Some couples seek therapy to work out their problems, while others attend therapy to determine whether staying together is the best solution.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
work,work,VERB,"Some couples seek therapy to work out their problems, while others attend therapy to determine whether staying together is the best solution.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
attend therapy,attend therapy,"VERB,NOUN","Some couples seek therapy to work out their problems, while others attend therapy to determine whether staying together is the best solution.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
fact,fact,NOUN,"In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
peter pearson,peter pearson,"PROPN,PROPN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
ellyn bader,ellyn bader,"PROPN,NOUN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the couples institute,the couple institute,"DET,NOUN,NOUN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
palo alto,palo alto,"PROPN,PROPN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
california,california,PROPN,"In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the experience,the experience,"DET,NOUN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the clinician,the clinician,"DET,NOUN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a helicopter,a helicopter,"DET,NOUN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a hurricane,a hurricane,"DET,NOUN","In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
